name	type	Also known as                                                                                                                              
EDF Energy Plc	Company	                                                                                                                               
	Employer	                                                                                                                                            
Century	Environmental model	                                                                                                                          
	Topic	                                                                                                                                               
TRIFFID	Environmental model	                                                                                                                          
	Topic	                                                                                                                                               
Soil evaporation rate	Environmental variable	                                                                                                         
	Topic	                                                                                                                                               
Precipitation intercepted by canopy	Environmental variable	                                                                                           
	Topic	                                                                                                                                               
Albedo for short-wave radiation	Environmental variable	                                                                                               
	Topic	                                                                                                                                               
Albedo for long-wave radiation	Environmental variable	                                                                                                
	Topic	                                                                                                                                               
CO2 assimilation rate at light saturation for individual leaves	Environmental variable	                                                               
	Topic	                                                                                                                                               
Potential CO2 assimilation rate at light saturation for individual leaves	Environmental variable	                                                     
	Topic	                                                                                                                                               
Assimilation CH20 requirement for dry matter production	Environmental variable	                                                                       
	Topic	                                                                                                                                               
Assimilate requirement for dry matter production	Environmental variable	                                                                              
	Topic	                                                                                                                                               
Assimilate requirement for leaf dry matter production	Environmental variable	                                                                         
	Topic	                                                                                                                                               
Assimilate requirement for root dry matter production	Environmental variable	                                                                         
	Topic	                                                                                                                                               
Assimilate requirement for storage organ dry matter production	Environmental variable	                                                                
	Topic	                                                                                                                                               
Assimilate requirement for stem dry matter production	Environmental variable	                                                                         
	Topic	                                                                                                                                               
Atmospheric transmission coefficient	Environmental variable	                                                                                          
	Topic	                                                                                                                                               
Total transpiration rate of canopy	Environmental variable	                                                                                            
	Topic	                                                                                                                                               
Actual vapour pressure	Environmental variable	                                                                                                        
	Topic	                                                                                                                                               
Black-body radiation	Environmental variable	                                                                                                          
	Topic	                                                                                                                                               
Stefan-Boltzmann constant	Environmental variable	                                                                                                     
	Topic	                                                                                                                                               
Mass fraction carbon in leaves	Environmental variable	                                                                                                
	Topic	                                                                                                                                               
Mass fraction carbon in roots	Environmental variable	                                                                                                 
	Topic	                                                                                                                                               
Mass fraction carbon in storage organs	Environmental variable	                                                                                        
	Topic	                                                                                                                                               
Mass fraction carbon in stems	Environmental variable	                                                                                                 
	Topic	                                                                                                                                               
Amount of carbon in crop	Environmental variable	                                                                                                      
	Topic	                                                                                                                                               
Sum of integrated carbon fluxes into and out of crop	Environmental variable	                                                                          
	Topic	                                                                                                                                               
Conversion factor for remobilisation of stem carbohydrates into glucose	Environmental variable	                                                       
	Topic	                                                                                                                                               
LPJ	Environmental model	                                                                                                                              
	Topic	                                                                                                                                               
CO2 production factor for growth of leaves	Environmental variable	                                                                                    
	Topic	                                                                                                                                               
CO2 production factor for growth of roots	Environmental variable	                                                                                     
	Topic	                                                                                                                                               
CO2 production factor for growth of storage organs	Environmental variable	                                                                            
	Topic	                                                                                                                                               
CO2 production factor for growth of stems	Environmental variable	                                                                                     
	Topic	                                                                                                                                               
Coefficient for effect of water stress on dry matter partitioning	Environmental variable	                                                             
	Topic	                                                                                                                                               
Daily average temperature	Environmental variable	                                                                                                     
	Topic	                                                                                                                                               
Declination of the sun	Environmental variable	                                                                                                        
	Topic	                                                                                                                                               
Death rate of leaf area	Environmental variable	                                                                                                       
	Topic	                                                                                                                                               
Death rate of leaves	Environmental variable	                                                                                                          
	Topic	                                                                                                                                               
Day number for crop emergence	Environmental variable	                                                                                                 
	Topic	                                                                                                                                               
Photosynthetically active radiation	Environmental variable	                                                                                           
	Topic	                                                                                                                                               
Drainage rate below the root zone	Environmental variable	                                                                                             
	Topic	                                                                                                                                               
Drying power term in Penman equation	Environmental variable	                                                                                          
	Topic	                                                                                                                                               
Daily extra-terrestrial radiation	Environmental variable	                                                                                             
	Topic	                                                                                                                                               
Number of days since last rain	Environmental variable	                                                                                                
	Topic	                                                                                                                                               
Daily effective temperature	Environmental variable	                                                                                                   
	Topic	                                                                                                                                               
Daily total gross CO2 assimilation of the crop	Environmental variable	                                                                                
	Topic	                                                                                                                                               
Gross CO2 assimilation rate	Environmental variable	                                                                                                   
	Topic	                                                                                                                                               
Daily maximum temperature	Environmental variable	                                                                                                     
	Topic	                                                                                                                                               
Daily minimum temperature	Environmental variable	                                                                                                     
	Topic	                                                                                                                                               
Daily solar radiation	Environmental variable	                                                                                                         
	Topic	                                                                                                                                               
Development stage of crop	Environmental variable	                                                                                                     
	Topic	                                                                                                                                               
Ear area index	Environmental variable	                                                                                                                
	Topic	                                                                                                                                               
Ear area/weight ratio	Environmental variable	                                                                                                         
	Topic	                                                                                                                                               
Soil-specific extinction coefficient	Environmental variable	                                                                                          
	Topic	                                                                                                                                               
Initial light conversion factor for individual leaves	Environmental variable	                                                                         
	Topic	                                                                                                                                               
Cumulative effective root length	Environmental variable	                                                                                              
	Topic	                                                                                                                                               
Potential soil evaporation due to drying power of the air	Environmental variable	                                                                     
	Topic	                                                                                                                                               
Potential soil evaporation due to radiation	Environmental variable	                                                                                   
	Topic	                                                                                                                                               
Evaporation rate on days without rain	Environmental variable	                                                                                         
	Topic	                                                                                                                                               
Evaporation rate on days with rain	Environmental variable	                                                                                            
	Topic	                                                                                                                                               
Evaporation rate	Environmental variable	                                                                                                              
	Topic	                                                                                                                                               
Rate of root elongation	Environmental variable	                                                                                                       
	Topic	                                                                                                                                               
Sky clearness function in calculation of net long-wave radiation	Environmental variable	                                                              
	Topic	                                                                                                                                               
CO2 assimilation rate at one depth in the canopy	Environmental variable	                                                                              
	Topic	                                                                                                                                               
Instantaneous canopy CO2 assimilation rate	Environmental variable	                                                                                    
	Topic	                                                                                                                                               
CO2 assimilation rate at one depth in the canopy for shaded leaves	Environmental variable	                                                            
	Topic	                                                                                                                                               
CO2 assimilation rate at one depth in the canopy for sunlit leaves	Environmental variable	                                                            
	Topic	                                                                                                                                               
Fraction of shoot dry matter allocated to leaves	Environmental variable	                                                                              
	Topic	                                                                                                                                               
Fraction diffuse in incoming radiation	Environmental variable	                                                                                        
	Topic	                                                                                                                                               
Fraction total dry matter allocated to roots	Environmental variable	                                                                                  
	Topic	                                                                                                                                               
Fraction stem weight eventually translocated to storage organs	Environmental variable	                                                                
	Topic	                                                                                                                                               
Fraction total dry matter allocated to shoots	Environmental variable	                                                                                 
	Topic	                                                                                                                                               
Fraction total dry matter allocated to shoots (water-limited production)	Environmental variable	                                                      
	Topic	                                                                                                                                               
Fraction of sunlit leaf area	Environmental variable	                                                                                                  
	Topic	                                                                                                                                               
Fraction of shoot dry matter allocated to storage organs	Environmental variable	                                                                      
	Topic	                                                                                                                                               
Fraction of shoot dry matter allocated to stems	Environmental variable	                                                                               
	Topic	                                                                                                                                               
Net growth rate of leaf area index	Environmental variable	                                                                                            
	Topic	                                                                                                                                               
Dry matter growth rate of leaves	Environmental variable	                                                                                              
	Topic	                                                                                                                                               
Daily total gross CH2O assimilation of the crop	Environmental variable	                                                                               
	Topic	                                                                                                                                               
Dry matter growth rate of roots	Environmental variable	                                                                                               
	Topic	                                                                                                                                               
Dry matter growth rate of storage organs	Environmental variable	                                                                                      
	Topic	                                                                                                                                               
Dry matter growth rate of stems	Environmental variable	                                                                                               
	Topic	                                                                                                                                               
Gross growth rate of crop dry matter, including translocation	Environmental variable	                                                                 
	Topic	                                                                                                                                               
Initial development stage	Environmental variable	                                                                                                     
	Topic	                                                                                                                                               
Initial ear area index	Environmental variable	                                                                                                        
	Topic	                                                                                                                                               
Initial leaf area index	Environmental variable	                                                                                                       
	Topic	                                                                                                                                               
Interception capacity of precipitation of one layer of leaves	Environmental variable	                                                                 
	Topic	                                                                                                                                               
Extinction coefficient for direct component of direct PAR flux	Environmental variable	                                                                
	Topic	                                                                                                                                               
Extinction coefficient for total direct PAR flux	Environmental variable	                                                                              
	Topic	                                                                                                                                               
Leaf Area Index	Environmental variable	                                                                                                               
	Topic	                                                                                                                                               
Leaf area index above selected height in canopy	Environmental variable	                                                                               
	Topic	                                                                                                                                               
Critical leaf area index beyond which death to self-shading occurs	Environmental variable	                                                            
	Topic	                                                                                                                                               
Latitude of weather station	Environmental variable	                                                                                                   
	Topic	                                                                                                                                               
Latent heat of evaporation of water	Environmental variable	                                                                                           
	Topic	                                                                                                                                               
Longitude of weather station	Environmental variable	                                                                                                  
	Topic	                                                                                                                                               
Maintenance respiration coefficient of leaves	Environmental variable	                                                                                 
	Topic	                                                                                                                                               
Maintenance respiration coefficient of roots	Environmental variable	                                                                                  
	Topic	                                                                                                                                               
Maintenance respiration coefficient of storage organs	Environmental variable	                                                                         
	Topic	                                                                                                                                               
Maintenance respiration coefficient of stems	Environmental variable	                                                                                  
	Topic	                                                                                                                                               
Maintenance respiration rate of the crop	Environmental variable	                                                                                      
	Topic	                                                                                                                                               
Maintenance respiration rate of crop at reference temperature	Environmental variable	                                                                 
	Topic	                                                                                                                                               
Maximum drainage rate of subsoil	Environmental variable	                                                                                              
	Topic	                                                                                                                                               
Net radiation	Environmental variable	                                                                                                                 
	Topic	                                                                                                                                               
Soil water depletion fraction	Environmental variable	                                                                                                 
	Topic	                                                                                                                                               
Instantaneous flux of photosynthetically active radiation	Environmental variable	                                                                     
	Topic	                                                                                                                                               
Instantaneous diffuse flux of incoming photosynthetically active radiation	Environmental variable	                                                    
	Topic	                                                                                                                                               
Instantaneous direct flux of incoming photosynthetically active radiation	Environmental variable	                                                     
	Topic	                                                                                                                                               
Coefficient for reuction in photosynthesis due to water stress	Environmental variable	                                                                
	Topic	                                                                                                                                               
Penman reference value for potential evaporation	Environmental variable	                                                                              
	Topic	                                                                                                                                               
Potential soil evaporation	Environmental variable	                                                                                                    
	Topic	                                                                                                                                               
Potential transpiration rate derived from Penman evaporation	Environmental variable	                                                                  
	Topic	                                                                                                                                               
Coefficient for increase in maintenance respiration with a 10 degreeC rise in temperature	Environmental variable	                                     
	Topic	                                                                                                                                               
Daily precipitation	Environmental variable	                                                                                                           
	Topic	                                                                                                                                               
Relative death rate of leaves	Environmental variable	                                                                                                 
	Topic	                                                                                                                                               
Relative death rate due to developmental ageing	Environmental variable	                                                                               
	Topic	                                                                                                                                               
Relative death rate due to self-shading at high LAI	Environmental variable	                                                                           
	Topic	                                                                                                                                               
Growth rate ear area index	Environmental variable	                                                                                                    
	Topic	                                                                                                                                               
Reflection coefficient for diffuse PAR	Environmental variable	                                                                                        
	Topic	                                                                                                                                               
Reflection coefficient for direct PAR	Environmental variable	                                                                                         
	Topic	                                                                                                                                               
Relative growth rate of leaf area during exponential growth	Environmental variable	                                                                   
	Topic	                                                                                                                                               
Net long-wave radiation	Environmental variable	                                                                                                       
	Topic	                                                                                                                                               
Runoff	Environmental variable	                                                                                                                        
	Topic	                                                                                                                                               
Relative available volumetric water content in soil layers	Environmental variable	                                                                    
	Topic	                                                                                                                                               
Solar constant	Environmental variable	                                                                                                                
	Topic	                                                                                                                                               
Scattering coefficient of leaves for PAR	Environmental variable	                                                                                      
	Topic	                                                                                                                                               
Specific leaf area	Environmental variable	                                                                                                            
	Topic	                                                                                                                                               
Saturated vapour pressure	Environmental variable	                                                                                                     
	Topic	                                                                                                                                               
Total above-ground dry matter	Environmental variable	                                                                                                 
	Topic	                                                                                                                                               
Cumulative actual soil evaporation	Environmental variable	                                                                                            
	Topic	                                                                                                                                               
Total amount of rainfall intercepted by canopy	Environmental variable	                                                                                
	Topic	                                                                                                                                               
Transpiration/assimilation ratio	Environmental variable	                                                                                              
	Topic	                                                                                                                                               
Total amount of water transpired by the crop	Environmental variable	                                                                                  
	Topic	                                                                                                                                               
Base temperature for juvenile leaf area growth	Environmental variable	                                                                                
	Topic	                                                                                                                                               
Total drainage	Environmental variable	                                                                                                                
	Topic	                                                                                                                                               
Total biomass	Environmental variable	                                                                                                                 
	Topic	                                                                                                                                               
Total gross CO2 assimilation of crop	Environmental variable	                                                                                          
	Topic	                                                                                                                                               
Coefficient for effect of temperature on maintenance respiration	Environmental variable	                                                              
	Topic	                                                                                                                                               
Cumulative potential soil evaporation due to drying power of the air	Environmental variable	                                                          
	Topic	                                                                                                                                               
Cumulative potential soil evaporation due to radiation	Environmental variable	                                                                        
	Topic	                                                                                                                                               
Thickness of the soil layers	Environmental variable	                                                                                                  
	Topic	                                                                                                                                               
Sum of thickness of the soil layers	Environmental variable	                                                                                           
	Topic	                                                                                                                                               
Total net CO2 assimilation	Environmental variable	                                                                                                    
	Topic	                                                                                                                                               
Cumulative potential evapotranspiration	Environmental variable	                                                                                       
	Topic	                                                                                                                                               
Cumulative potential evaporation	Environmental variable	                                                                                              
	Topic	                                                                                                                                               
Total precipitation	Environmental variable	                                                                                                           
	Topic	                                                                                                                                               
Translocation rate of stem dry matter to storage organs	Environmental variable	                                                                       
	Topic	                                                                                                                                               
Transpiration coefficient	Environmental variable	                                                                                                     
	Topic	                                                                                                                                               
Reference temperature	Environmental variable	                                                                                                         
	Topic	                                                                                                                                               
Total runoff	Environmental variable	                                                                                                                  
	Topic	                                                                                                                                               
Potential rate of water uptake per mm effective rooted depth	Environmental variable	                                                                  
	Topic	                                                                                                                                               
Rate of transpiration	Environmental variable	                                                                                                         
